stop_pattern_id,stop_id,stop_sequence,timepoint
18_1,7237,4,0
18_1,7236,5,0
18_1,7235,6,0
18_1,7234,7,0
18_1,7083,8,1
18_1,7080,9,0
18_1,7028,10,0
18_1,7027,11,0
18_1,7026,12,1
18_1,7025,13,0
18_1,7024,14,0
18_1,7023,15,0
18_1,7022,16,0
18_1,7021,17,0
18_1,7020,18,0
18_1,7019,19,0
18_1,7018,20,0
18_1,7017,21,1
18_1,7918,22,0
18_1,7917,23,0
18_1,7915,24,0
18_1,7914,25,1
18_1,7913,26,0
18_1,7912,27,0
18_1,7911,28,0
18_1,7909,29,1
18_1,7908,30,0
18_1,7907,31,0
18_1,5914,32,0
18_1,5915,33,1
18_1,5916,34,0
18_1,5917,35,0
18_1,5918,36,0
18_1,5319,37,1
18_1,5320,38,0
18_1,5321,39,0
18_1,5322,40,0
18_1,5323,41,0
18_1,5324,42,0
18_1,5325,43,0
18_1,5326,44,0
18_1,5327,45,0
18_1,5328,46,0
18_1,5329,47,0
18_1,5330,48,0
18_1,5331,49,0
18_1,5332,50,1
114_1,9525,0,1
114_1,9540,1,0
114_1,9541,2,0
114_1,9542,3,0
114_1,9543,4,0
114_1,9544,5,0
114_1,9545,6,0
114_1,9546,7,0
114_1,9548,8,1
114_1,9550,9,0
114_1,9551,10,0
114_1,9552,11,0
114_1,9553,12,0
114_1,9554,13,0
114_1,9555,14,0
114_1,9556,15,0
114_1,9558,16,0
114_1,9559,17,1
114_1,9538,18,0
114_1,9539,19,0
114_1,8582,20,0
114_1,8580,21,1
18_0,4332,0,1
18_0,4331,1,0
18_0,4330,2,0
18_0,4329,3,0
18_0,4328,4,0
18_0,4327,5,0
18_0,4326,6,0
18_0,4325,7,0
18_0,4324,8,0
18_0,4323,9,0
18_0,4322,10,0
18_0,4321,11,0
18_0,4320,12,0
18_0,4319,13,1
18_0,4918,14,0
18_0,4917,15,0
18_0,4916,16,0
18_0,4915,17,1
18_0,6906,18,0
18_0,6908,19,0
18_0,6909,20,1
18_0,6911,21,0
18_0,6913,22,0
18_0,6914,23,1
18_0,6915,24,0
18_0,6917,25,0
18_0,6918,26,0
18_0,6055,27,1
18_0,6019,28,0
18_0,6021,29,0
18_0,6022,30,0
18_0,6023,31,0
18_0,6024,32,0
18_0,6025,33,0
18_0,6026,34,0
18_0,6224,35,1
18_0,6027,36,0
18_0,6028,37,0
18_0,6080,38,0
18_0,6081,39,1
18_0,6234,40,0
18_0,6235,41,0
18_0,6236,42,0
18_0,6237,43,0
18_0,6238,44,0
18_0,6239,45,0
18_0,6240,46,0
18_0,6241,47,1
717_0,6011,0,1
717_0,6014,1,0
717_0,6015,2,0
717_0,6016,3,0
717_0,6055,4,0
717_0,6019,5,0
717_0,6021,6,0
717_0,6022,7,0
717_0,6023,8,0
717_0,6024,9,0
717_0,6025,10,0
717_0,6026,11,0
717_0,6224,12,0
717_0,6027,13,0
717_0,6028,14,0
717_0,6080,15,0
717_0,6081,16,0
717_0,6087,17,0
717_0,6088,18,0
717_0,6089,19,0
