service_id,date,exception_type
8_3,20220830,1
8_3,20220831,1
8_3,20220901,1
8_3,20220902,1
8_3,20220905,1
8_3,20220906,1
8_3,20220907,1
8_3,20220908,1
8_3,20220909,1
8_3,20220912,1
8_3,20220913,1
8_3,20220914,1
8_3,20220915,1
8_3,20220916,1
8_3,20220919,1
8_3,20220920,1
8_3,20220921,1
8_3,20220922,1
8_3,20220923,1
8_3,20220926,1
8_3,20220927,1
8_3,20220928,1
8_3,20220929,1
8_3,20220930,1
10_3,20220829,1
10_3,20220830,1
10_3,20220831,1
10_3,20220901,1
10_3,20220902,1
10_3,20220905,1
10_3,20220906,1
10_3,20220907,1
10_3,20220908,1
10_3,20220909,1
10_3,20220912,1
10_3,20220913,1
10_3,20220914,1
10_3,20220915,1
10_3,20220916,1
10_3,20220919,1
10_3,20220920,1
10_3,20220921,1
10_3,20220922,1
10_3,20220923,1
10_3,20220926,1
10_3,20220927,1
10_3,20220928,1
10_3,20220929,1
10_3,20220930,1
106_2,20220828,1
106_2,20220904,1
106_2,20220911,1
106_2,20220918,1
106_2,20220925,1
110_2,20220829,1
110_2,20220830,1
110_2,20220831,1
110_2,20220901,1
110_2,20220902,1
110_2,20220905,1
110_2,20220906,1
110_2,20220907,1
110_2,20220908,1
110_2,20220909,1
110_2,20220912,1
110_2,20220913,1
110_2,20220914,1
110_2,20220915,1
110_2,20220916,1
110_2,20220919,1
110_2,20220920,1
110_2,20220921,1
110_2,20220922,1
110_2,20220923,1
110_2,20220926,1
110_2,20220927,1
110_2,20220928,1
110_2,20220929,1
110_2,20220930,1
84,20220829,1
84,20220830,1
84,20220831,1
84,20220901,1
84,20220902,1
84,20220905,1
84,20220906,1
84,20220907,1
84,20220908,1
84,20220909,1
84,20220912,1
84,20220913,1
84,20220914,1
84,20220915,1
84,20220916,1
84,20220919,1
84,20220920,1
84,20220921,1
84,20220922,1
84,20220923,1
84,20220926,1
84,20220927,1
84,20220928,1
84,20220929,1
84,20220930,1
200,20220828,1
200,20220904,1
200,20220911,1
200,20220918,1
200,20220925,1
6042,20220829,1
6042,20220830,1
6042,20220831,1
6042,20220901,1
6042,20220902,1
6042,20220905,1
6042,20220906,1
6042,20220907,1
6042,20220908,1
6042,20220909,1
6042,20220912,1
6042,20220913,1
6042,20220914,1
6042,20220915,1
6042,20220916,1
6042,20220919,1
6042,20220920,1
6042,20220921,1
6042,20220922,1
6042,20220923,1
6042,20220926,1
6042,20220927,1
6042,20220928,1
6042,20220929,1
6042,20220930,1
2102,20220903,1
2102,20220910,1
2102,20220917,1
2102,20220924,1
2102,20221001,1
206_1,20220903,1
206_1,20220910,1
206_1,20220917,1
206_1,20220924,1
206_1,20221001,1
3201,20220829,1
3201,20220830,1
3201,20220831,1
3201,20220901,1
3201,20220902,1
3201,20220905,1
3201,20220906,1
3201,20220907,1
3201,20220908,1
3201,20220909,1
3201,20220912,1
3201,20220913,1
3201,20220914,1
3201,20220915,1
3201,20220916,1
3201,20220919,1
3201,20220920,1
3201,20220921,1
3201,20220922,1
3201,20220923,1
3201,20220926,1
3201,20220927,1
3201,20220928,1
3201,20220929,1
3201,20220930,1
3052,20220829,1
3052,20220830,1
3052,20220831,1
3052,20220901,1
3052,20220902,1
3052,20220905,1
3052,20220906,1
3052,20220907,1
3052,20220908,1
3052,20220909,1
3052,20220912,1
3052,20220913,1
3052,20220914,1
3052,20220915,1
3052,20220916,1
3052,20220919,1
3052,20220920,1
3052,20220921,1
3052,20220922,1
3052,20220923,1
3052,20220926,1
3052,20220927,1
3052,20220928,1
3052,20220929,1
3052,20220930,1
8102,20220828,1
8102,20220904,1
8102,20220911,1
8102,20220918,1
8102,20220925,1
1071,20220828,1
1071,20220904,1
1071,20220911,1
1071,20220918,1
1071,20220925,1
437,20220831,1
437,20220907,1
437,20220914,1
437,20220921,1
437,20220928,1
2032,20220903,1
2032,20220910,1
2032,20220917,1
2032,20220924,1
2032,20221001,1
2042,20220903,1
2042,20220910,1
2042,20220917,1
2042,20220924,1
2042,20221001,1
6051,20220829,1
6051,20220830,1
6051,20220831,1
6051,20220901,1
6051,20220902,1
6051,20220905,1
6051,20220906,1
6051,20220907,1
6051,20220908,1
6051,20220909,1
6051,20220912,1
6051,20220913,1
6051,20220914,1
6051,20220915,1
6051,20220916,1
6051,20220919,1
6051,20220920,1
6051,20220921,1
6051,20220922,1
6051,20220923,1
6051,20220926,1
6051,20220927,1
6051,20220928,1
6051,20220929,1
6051,20220930,1
113_3,20220829,1
113_3,20220830,1
113_3,20220831,1
113_3,20220901,1
113_3,20220902,1
113_3,20220905,1
113_3,20220906,1
113_3,20220907,1
113_3,20220908,1
113_3,20220909,1
113_3,20220912,1
113_3,20220913,1
113_3,20220914,1
113_3,20220915,1
113_3,20220916,1
113_3,20220919,1
113_3,20220920,1
113_3,20220921,1
113_3,20220922,1
113_3,20220923,1
113_3,20220926,1
113_3,20220927,1
113_3,20220928,1
113_3,20220929,1
113_3,20220930,1
3011,20220831,1
3011,20220907,1
3011,20220914,1
3011,20220921,1
3011,20220928,1
34,20220828,1
34,20220904,1
34,20220911,1
34,20220918,1
34,20220925,1
3182,20220829,1
3182,20220830,1
3182,20220831,1
3182,20220901,1
3182,20220902,1
3182,20220905,1
3182,20220906,1
3182,20220907,1
3182,20220908,1
3182,20220909,1
3182,20220912,1
3182,20220913,1
3182,20220914,1
3182,20220915,1
3182,20220916,1
3182,20220919,1
3182,20220920,1
3182,20220921,1
3182,20220922,1
3182,20220923,1
3182,20220926,1
3182,20220927,1
3182,20220928,1
3182,20220929,1
3182,20220930,1
431,20220830,1
431,20220906,1
431,20220913,1
431,20220920,1
431,20220927,1
154_1,20220828,1
154_1,20220904,1
154_1,20220911,1
154_1,20220918,1
154_1,20220925,1
35_1,20220903,1
35_1,20220910,1
35_1,20220917,1
35_1,20220924,1
35_1,20221001,1
113,20220828,1
113,20220904,1
113,20220911,1
113,20220918,1
113,20220925,1
72,20220829,1
72,20220830,1
72,20220831,1
72,20220901,1
72,20220902,1
72,20220905,1
72,20220906,1
72,20220907,1
72,20220908,1
72,20220909,1
72,20220912,1
72,20220913,1
72,20220914,1
72,20220915,1
72,20220916,1
72,20220919,1
72,20220920,1
72,20220921,1
72,20220922,1
72,20220923,1
72,20220926,1
72,20220927,1
72,20220928,1
72,20220929,1
72,20220930,1
1001_2,20220829,1
1001_2,20220830,1
1001_2,20220831,1
1001_2,20220901,1
1001_2,20220902,1
1001_2,20220905,1
1001_2,20220906,1
1001_2,20220907,1
1001_2,20220908,1
1001_2,20220909,1
1001_2,20220912,1
1001_2,20220913,1
1001_2,20220914,1
1001_2,20220915,1
1001_2,20220916,1
1001_2,20220919,1
1001_2,20220920,1
1001_2,20220921,1
1001_2,20220922,1
1001_2,20220923,1
1001_2,20220926,1
1001_2,20220927,1
1001_2,20220928,1
1001_2,20220929,1
1001_2,20220930,1
7081,20220903,1
7081,20220910,1
7081,20220917,1
7081,20220924,1
7081,20221001,1
8_2,20220903,1
8_2,20220910,1
8_2,20220917,1
8_2,20220924,1
8_2,20221001,1
3203,20220829,1
3203,20220830,1
3203,20220831,1
3203,20220901,1
3203,20220902,1
3203,20220905,1
3203,20220906,1
3203,20220907,1
3203,20220908,1
3203,20220909,1
3203,20220912,1
3203,20220913,1
3203,20220914,1
3203,20220915,1
3203,20220916,1
3203,20220919,1
3203,20220920,1
3203,20220921,1
3203,20220922,1
3203,20220923,1
3203,20220926,1
3203,20220927,1
3203,20220928,1
3203,20220929,1
3203,20220930,1
122,20220829,1
122,20220830,1
122,20220831,1
122,20220901,1
122,20220902,1
122,20220905,1
122,20220906,1
122,20220907,1
122,20220908,1
122,20220909,1
122,20220912,1
122,20220913,1
122,20220914,1
122,20220915,1
122,20220916,1
122,20220919,1
122,20220920,1
122,20220921,1
122,20220922,1
122,20220923,1
122,20220926,1
122,20220927,1
122,20220928,1
122,20220929,1
122,20220930,1
754_1,20220903,1
754_1,20220910,1
754_1,20220917,1
754_1,20220924,1
754_1,20221001,1
204_4,20220903,1
204_4,20220910,1
204_4,20220917,1
204_4,20220924,1
204_4,20221001,1
24_4,20220829,1
24_4,20220830,1
24_4,20220831,1
24_4,20220901,1
24_4,20220902,1
24_4,20220905,1
24_4,20220906,1
24_4,20220907,1
24_4,20220908,1
24_4,20220909,1
24_4,20220912,1
24_4,20220913,1
24_4,20220914,1
24_4,20220915,1
24_4,20220916,1
24_4,20220919,1
24_4,20220920,1
24_4,20220921,1
24_4,20220922,1
24_4,20220923,1
24_4,20220926,1
24_4,20220927,1
24_4,20220928,1
24_4,20220929,1
24_4,20220930,1
205_3,20220828,1
205_3,20220904,1
205_3,20220911,1
205_3,20220918,1
205_3,20220925,1
117,20220903,1
117,20220910,1
117,20220917,1
117,20220924,1
117,20221001,1
403,20220828,1
403,20220904,1
403,20220911,1
403,20220918,1
403,20220925,1
117_1,20220829,1
117_1,20220830,1
117_1,20220831,1
117_1,20220901,1
117_1,20220902,1
117_1,20220905,1
117_1,20220906,1
117_1,20220907,1
117_1,20220908,1
117_1,20220909,1
117_1,20220912,1
117_1,20220913,1
117_1,20220914,1
117_1,20220915,1
117_1,20220916,1
117_1,20220919,1
117_1,20220920,1
117_1,20220921,1
117_1,20220922,1
117_1,20220923,1
117_1,20220926,1
117_1,20220927,1
117_1,20220928,1
117_1,20220929,1
117_1,20220930,1
206_4,20220903,1
206_4,20220910,1
206_4,20220917,1
206_4,20220924,1
206_4,20221001,1
151_1,20220829,1
151_1,20220830,1
151_1,20220831,1
151_1,20220901,1
151_1,20220902,1
151_1,20220905,1
151_1,20220906,1
151_1,20220907,1
151_1,20220908,1
151_1,20220909,1
151_1,20220912,1
151_1,20220913,1
151_1,20220914,1
151_1,20220915,1
151_1,20220916,1
151_1,20220919,1
151_1,20220920,1
151_1,20220921,1
151_1,20220922,1
151_1,20220923,1
151_1,20220926,1
151_1,20220927,1
151_1,20220928,1
151_1,20220929,1
151_1,20220930,1
6071,20220829,1
6071,20220830,1
6071,20220831,1
6071,20220901,1
6071,20220902,1
6071,20220905,1
6071,20220906,1
6071,20220907,1
6071,20220908,1
6071,20220909,1
6071,20220912,1
6071,20220913,1
6071,20220914,1
6071,20220915,1
6071,20220916,1
6071,20220919,1
6071,20220920,1
6071,20220921,1
6071,20220922,1
6071,20220923,1
6071,20220926,1
6071,20220927,1
6071,20220928,1
6071,20220929,1
6071,20220930,1
719,20220903,1
719,20220910,1
719,20220917,1
719,20220924,1
719,20221001,1
527,20220829,1
527,20220830,1
527,20220831,1
527,20220901,1
527,20220902,1
527,20220905,1
527,20220906,1
527,20220907,1
527,20220908,1
527,20220909,1
527,20220912,1
527,20220913,1
527,20220914,1
527,20220915,1
527,20220916,1
527,20220919,1
527,20220920,1
527,20220921,1
527,20220922,1
527,20220923,1
527,20220926,1
527,20220927,1
527,20220928,1
527,20220929,1
527,20220930,1
122_1,20220829,1
122_1,20220830,1
122_1,20220831,1
122_1,20220901,1
122_1,20220902,1
122_1,20220905,1
122_1,20220906,1
122_1,20220907,1
122_1,20220908,1
122_1,20220909,1
122_1,20220912,1
122_1,20220913,1
122_1,20220914,1
122_1,20220915,1
122_1,20220916,1
122_1,20220919,1
122_1,20220920,1
122_1,20220921,1
122_1,20220922,1
122_1,20220923,1
122_1,20220926,1
122_1,20220927,1
122_1,20220928,1
122_1,20220929,1
122_1,20220930,1
3341,20220829,1
3341,20220830,1
3341,20220831,1
3341,20220901,1
3341,20220902,1
3341,20220905,1
3341,20220906,1
3341,20220907,1
3341,20220908,1
3341,20220909,1
3341,20220912,1
3341,20220913,1
3341,20220914,1
3341,20220915,1
3341,20220916,1
3341,20220919,1
3341,20220920,1
3341,20220921,1
3341,20220922,1
3341,20220923,1
3341,20220926,1
3341,20220927,1
3341,20220928,1
3341,20220929,1
3341,20220930,1
608,20220829,1
608,20220830,1
608,20220831,1
608,20220901,1
608,20220902,1
608,20220905,1
608,20220906,1
608,20220907,1
608,20220908,1
608,20220909,1
608,20220912,1
608,20220913,1
608,20220914,1
608,20220915,1
608,20220916,1
608,20220919,1
608,20220920,1
608,20220921,1
608,20220922,1
608,20220923,1
608,20220926,1
608,20220927,1
608,20220928,1
608,20220929,1
608,20220930,1
306_2,20220829,1
306_2,20220830,1
306_2,20220901,1
306_2,20220902,1
306_2,20220905,1
306_2,20220906,1
306_2,20220908,1
306_2,20220909,1
306_2,20220912,1
306_2,20220913,1
306_2,20220915,1
306_2,20220916,1
306_2,20220919,1
306_2,20220920,1
306_2,20220922,1
306_2,20220923,1
306_2,20220926,1
306_2,20220927,1
306_2,20220929,1
306_2,20220930,1
39_2,20220829,1
39_2,20220830,1
39_2,20220901,1
39_2,20220902,1
39_2,20220905,1
39_2,20220906,1
39_2,20220908,1
